Image,PSNR,SSIM,MAE,LPIPS,DeltaE,Category
blur_1.png,32.632985701119466,0.90936637,0.010778875,0.08532493561506271,1.5914214849472046,good
blur_2.png,31.205102822740756,0.9053479,0.011503574,0.13142116367816925,1.6169028282165527,good
blur_3.png,32.96923520664882,0.9172063,0.010643769,0.09509642422199249,1.7227272987365723,good
blur_4.png,28.463233791329216,0.8410933,0.0154349515,0.1933148056268692,1.7973967790603638,neutral
blur_5.png,32.39053404489839,0.8937929,0.011990546,0.08485618233680725,1.8549811840057373,good
blur_6.png,28.881298588937856,0.80694646,0.015923657,0.14752843976020813,1.8587663173675537,neutral
blur_7.png,29.490561621156935,0.8551426,0.0146421315,0.13138613104820251,1.9277249574661255,neutral
blur_8.png,30.42998872400767,0.8707449,0.012919407,0.13462674617767334,1.6504287719726562,good
blur_9.png,30.25894269117263,0.89527583,0.012080799,0.1399107426404953,1.5701591968536377,good
blur_10.png,32.34539311109119,0.8851692,0.01200633,0.1164923757314682,1.8409595489501953,good
blur_11.png,28.080059789109114,0.82478493,0.016802719,0.24186933040618896,1.7740224599838257,neutral
blur_12.png,30.5658677529672,0.8811989,0.012906599,0.12903070449829102,1.8561742305755615,good
blur_13.png,29.498566927226527,0.8610628,0.013837192,0.1360340714454651,1.696671962738037,neutral
blur_14.png,28.42948205835361,0.804023,0.016091848,0.1376008242368698,1.733389973640442,neutral
blur_15.png,28.311350966186527,0.8637161,0.014162578,0.16321438550949097,1.6027122735977173,neutral
blur_16.png,28.582121968029114,0.82435673,0.015929483,0.1280314177274704,1.8856112957000732,neutral
blur_17.png,29.191111519371002,0.85555726,0.014479776,0.1935575157403946,1.773900032043457,neutral
blur_18.png,31.933025154824904,0.91485864,0.011542074,0.11373727023601532,1.7630596160888672,good
blur_19.png,28.18994282122363,0.800091,0.017278587,0.15134242177009583,1.8125799894332886,neutral
blur_20.png,30.143895125295167,0.8865549,0.0129982615,0.12745662033557892,1.7120931148529053,good
blur_21.png,20.15812682084512,0.6605311,0.046605233,0.18773724138736725,3.2358713150024414,neutral
blur_22.png,23.91234569819233,0.82173806,0.030527184,0.09164442121982574,2.8504364490509033,neutral
blur_23.png,24.160535968760392,0.82974535,0.02947107,0.12968690693378448,2.6178884506225586,neutral
blur_24.png,27.954080997195497,0.9006236,0.022521531,0.09423798322677612,2.492443084716797,neutral
blur_25.png,25.800043443411464,0.8561924,0.026901117,0.09885851293802261,2.7957301139831543,neutral
blur_26.png,30.824608313597864,0.93661934,0.019751044,0.04626625031232834,2.576855421066284,good
blur_27.png,22.843432749756207,0.81088096,0.03234682,0.13114134967327118,2.605095386505127,neutral
blur_28.png,25.82552880254662,0.88053447,0.026214713,0.07757231593132019,2.681668758392334,neutral
blur_29.png,23.80329954807056,0.79981804,0.031422842,0.09480049461126328,2.7282679080963135,neutral
blur_30.png,30.14034277937214,0.9310034,0.02011712,0.05458947271108627,2.4564318656921387,good
blur_31.png,27.501384766246588,0.8851524,0.023259325,0.09344963729381561,2.7030835151672363,neutral
blur_32.png,24.380985554188573,0.80978584,0.030097583,0.0925610288977623,2.8254590034484863,neutral
blur_33.png,28.725772653817117,0.9166226,0.021573894,0.07667107880115509,2.57030987739563,neutral
blur_34.png,26.874065920245442,0.8853743,0.024449594,0.08402812480926514,2.679151773452759,neutral
blur_35.png,29.306237768879413,0.9172752,0.021219658,0.08201970160007477,2.4423136711120605,neutral
blur_36.png,28.798310192329033,0.91132087,0.021888016,0.0728144496679306,2.422013759613037,neutral
blur_37.png,18.828244563758997,0.6731197,0.05083571,0.2513636648654938,2.9829752445220947,bad
blur_38.png,28.254010220466274,0.896427,0.022518298,0.07323348522186279,2.345095157623291,neutral
blur_39.png,26.53431836038225,0.8690081,0.024757398,0.07761663943529129,2.6748180389404297,neutral
blur_40.png,25.808748198569212,0.8012583,0.02940393,0.08212320506572723,1.8562638759613037,neutral
